,annotation,id,convopath_id
0,neutral,1592115645151588352,1592115645151588352268
1,neutral,1592117861228875776,1592115645151588352268
2,neutral,1592118324208754693,1592115645151588352268
3,counter,1592121034576101381,1592115645151588352268
4,neutral,1592121470112890882,1592115645151588352268
5,neutral,1592123947335966721,1592115645151588352268
6,abusive,1592124859169275905,1592115645151588352268
7,neutral,1592145395609931776,1592115645151588352268
8,not understandable,1592149739335831553,1592115645151588352268
9,neutral,1592152750250688513,1592115645151588352268
10,neutral,1592158956834951168,1592115645151588352268
11,neutral,1594613311785541633,1592115645151588352268
12,neutral,1594613527800852480,1592115645151588352268
13,abusive,1594613950657748992,1592115645151588352268
14,counter,1594619464766885889,1592115645151588352268
16,not understandable,1592117990170017794,1592115645151588352400
17,neutral,1592134842137088002,1592115645151588352400
19,neutral,1592120612746821632,1592115645151588352539
20,neutral,1592472850849755136,1592115645151588352539
21,neutral,1592164695750111232,159216469575011123247
22,neutral,1592166609439035393,159216469575011123247
23,abusive,1592187653906403329,159216469575011123247
24,not understandable,1592204885373906946,159216469575011123247
25,abusive,1592301151613247489,159216469575011123247
26,counter,1592842952032014336,159216469575011123247
27,neutral,1592191181022236673,159219118102223667311
28,neutral,1592222187691601920,159219118102223667311
29,abusive,1592281607272103937,159219118102223667311
30,neutral,1592261707199827973,1592261707199827973516
31,abusive,1592265808641929218,1592261707199827973516
32,counter,1592507917932322816,1592261707199827973516
33,neutral,1592443601891590144,1592443601891590144151
34,neutral,1592451623804350464,1592443601891590144151
35,abusive,1592457284793552897,1592443601891590144151
36,neutral,1592558559761698817,1592443601891590144151
38,neutral,1592448218167934977,1592443601891590144193
39,neutral,1592465030498635778,1592443601891590144193
40,counter,1592478794501488640,159244360189159014438
42,abusive,1592460950095159296,159244360189159014438
43,neutral,1592502084947312642,159244360189159014438
44,neutral,1592463687796809728,159246368779680972873
45,neutral,1592465561161588736,159246368779680972873
46,abusive,1592485148582461440,159246368779680972873
47,neutral,1592475798933737472,159247579893373747211
48,not understandable,1592479687443648515,159247579893373747211
49,neutral,1592478217008549888,15924757989337374721165
50,neutral,1592617098358181888,15924757989337374721165
